,dataItemType,id,modelId,name,source,unitId,description
215,a,27283,970,sc_recycle_vlv_pos_fdbk,axeda,61.0,
216,a,10048944,1014,total_reactive_power_q,seshat,705.0,
217,a,16013,387,geno_covar_P21,axeda,,
218,a,10046946,933,APU2.MEAS.PhaseAngL1L2LV,seshat,376.0,
219,a,10001250,23,Para_Custom_AnalogIn_37_CustAnaIn_MinMaxActive37,seshat,,
220,a,10015375,590,Para_ModulControler_Ctr27_PComp,seshat,,
221,a,10012734,590,Para_Reserve_Analog_ScaleEnd10,seshat,,
222,a,10044565,23,manualdata_valverecession_rev_cyl02,seshat,64.0,
223,a,17771,23,Para_Hyd_RetWat_LimitHys,axeda,544.0,
224,a,101,23,Monic_VoltMin,axeda,74.0,
225,a,10046217,23,Para_Custom_AnalogOut_AO021_HardwareScaleMin,seshat,,
226,a,10050981,23,CtrModule_Ctr2_Error,seshat,10002.0,
227,a,10013125,590,Para_Custom_AnalogIn_56_CustAnaIn_Set4mA56,seshat,,
228,a,10009999,590,Para_ModulControler_Ctr12_WStart,seshat,,
229,a,25943,690,gc_cyl5_ce_prs_deg199,axeda,684.0,
230,a,10009396,590,iSA_PICurGrad19,seshat,,
231,a,23595,690,gc_cyl2_ce_prs_deg11,axeda,684.0,
232,a,10015434,590,Para_ModulControler_Ctr29_Tn_manualAdjust,seshat,,
233,a,25801,690,gc_cyl5_ce_prs_deg57,axeda,684.0,
234,a,10049927,23,Para_emission_tiscr_emline_purgingwaiting,seshat,347.0,
235,a,25856,690,gc_cyl5_ce_prs_deg112,axeda,684.0,
236,a,10012547,590,Para_Reserve_Para3_Par068,seshat,,
237,a,23401,690,gc_cyl2_he_prs_deg177,axeda,684.0,
238,a,17950,23,Para_Tecjet_Gas1_TecJetPoint2,axeda,,
239,a,17072,23,Para_CtrModule_CtrX10_YMin,axeda,61.0,
240,a,24804,690,gc_cyl4_he_prs_deg140,axeda,684.0,
241,a,10046064,23,cust_analoginput_ai118_value,seshat,775.0,
242,a,10010333,590,Para_Gasmixer_LimitAirTempMax,seshat,,
243,a,24659,690,gc_cyl3_ce_prs_deg355,axeda,684.0,
244,a,10008374,23,Para_Electrical_Grid_Synchronization_F_BB_ClosCond_LimLo,seshat,,
245,a,10051113,23,customized_rcustvis_80,seshat,10002.0,
246,a,28394,570,eng_fuel_vlv_diff_press,axeda,684.0,
247,a,10045644,23,Para_Custom_AnalogIn_118_LimitHi,seshat,,
248,a,10015138,590,Para_Custom_AnalogIn_46_LimitLoLo,seshat,,
249,a,26456,690,gc_cyl6_he_prs_deg352,axeda,684.0,
250,a,10009495,590,Para_Leanox_Gas1_CtrTecjet_PComp,seshat,,
251,a,10011587,590,Para_Power_RedCoolWatTemp_Rate,seshat,,
252,a,25916,690,gc_cyl5_ce_prs_deg172,axeda,684.0,
253,a,10044542,23,manualdata_valverecession_riv_cyl03,seshat,64.0,
254,a,17986,23,Para_Tecjet_IdleLambdaCtr_Gas3_TecJetDP,axeda,,
255,a,10051010,23,CtrModule_Ctr31_Error,seshat,10002.0,
256,a,10012552,590,Para_Reserve_Para_Par007,seshat,,
257,a,25489,690,gc_cyl5_he_prs_deg105,axeda,684.0,
258,a,10001393,23,Para_Hydraulic_CrankCase_tiPr_CC_HiHi,seshat,,
259,a,21710,570,eng_esm2_coolant_t_ohms,axeda,607.0,
260,a,17875,23,Para_SpecGas_GlowIgn_EmergShut_LimitDeltaCylTemp,axeda,354.0,
261,a,17094,23,Para_CtrModule_CtrX11_WRampPos,axeda,354.0,
262,a,10046807,931,Gen.MEAS.fbus,seshat,181.0,
263,a,10009793,590,Para_Electrical_Grid_Synchronization_MCB_Ctr_Cust,seshat,,
264,a,1040249,570,gc_cyl_4_rod_load_com,analytics,564.0,
265,a,10000596,23,Para_Engine_ChargeTempCtr_WMax,seshat,,
266,a,25491,690,gc_cyl5_he_prs_deg107,axeda,684.0,
267,a,10049143,990,meas_ssmbvolts,seshat,23.0,
268,a,10045275,23,cbm_icnt_complinecheck_22,seshat,,
269,a,10000186,23,Para_ModulControler_Ctr1_WMax,seshat,,
270,a,10015270,590,Para_Custom_AnalogOut_AO15_HardwareScaleMax,seshat,,
271,a,16676,23,Para_Aux_IntakeAirPress_LimitMin1,axeda,62.0,
272,a,10045969,23,cust_analoginput_ai023_value,seshat,775.0,
273,a,10015481,590,PBC_Press49bfTDC_Cyl21,seshat,,
274,a,22851,690,gc_cyl1_he_prs_deg347,axeda,684.0,
275,a,21995,630,eng_rpm,axeda,1.0,
276,a,10050148,23,safi_iu_safi_win4_19,seshat,361.0,
277,a,24141,690,gc_cyl3_he_prs_deg197,axeda,684.0,
278,a,18107,23,Para_Ignition_MORIS_CoilType0_SparkCurrIonis,axeda,61.0,
279,a,10012428,590,Para_Grid_GridCodeStatic_030_PowerLimit_Step1,seshat,,
280,a,10045051,23,cbm_icnt_knock_int_14,seshat,,
281,a,10046246,23,Para_Custom_AnalogOut_AO050_HardwareScaleMin,seshat,,
282,a,16962,23,Para_CtrModule_Ctr6_WMin,axeda,377.0,
283,a,1040227,23,spark_plug_rul_at_maintenance_22,analytics,710.0,
284,a,23137,690,gc_cyl1_ce_prs_deg273,axeda,684.0,
285,a,26530,690,gc_cyl6_ce_prs_deg66,axeda,684.0,
286,a,10045124,23,cbm_icnt_misf_I_15,seshat,,
287,a,10050262,23,enginecontroller_icnt_pcgv_class3_10,seshat,,
288,a,10014857,590,Para_Hydraulic_Oil_TurboCh_Pr_TCObF_ScalMin,seshat,,
289,a,21993,630,eng_oil_t,axeda,344.0,
290,a,10049278,23,safi_valvelashset_20,seshat,,
291,a,17684,23,Para_Hyd_CoolWat_Temp_LoadEnabHys,axeda,344.0,
292,a,26625,690,gc_cyl6_ce_prs_deg161,axeda,684.0,
293,a,10044306,23,G2_Knck_Rel12,seshat,,
294,a,10008437,23,Para_Aux_FreshOilPump_tiFreshOilPump_RTC_Time,seshat,,
295,a,10051046,23,customized_rcustvis_13,seshat,10002.0,
296,a,10047612,950,EHV.RTU.TR2.MEAS.RETUbusL1L2,seshat,74.0,
297,a,26661,690,gc_cyl6_ce_prs_deg197,axeda,684.0,
298,a,10015431,590,Para_ModulControler_Ctr29_t_min_pulse_up,seshat,,
299,a,10010119,590,Para_Exhaust_ActExhTemp,seshat,,
300,a,10009701,590,Para_Aux_IntakeAirPress_Range20mA,seshat,,
301,a,10001423,23,Para_Exhaust_SCR_Emission_CO_SCR_ScalMin,seshat,,
302,a,10048723,1018,buffer_di_inlet_valve_2_closed_indication,seshat,,
303,a,10048510,1030,shutdown_overridden_ccmon,seshat,,
304,a,10001059,23,Para_Custom_AnalogIn_44_ScaleMin,seshat,,
305,a,18504,23,Para_MMD_MMD1_ImpulseValue,axeda,375.0,
306,a,10013448,590,Para_ModulControler_Ctr21_deadband,seshat,,
307,a,10051426,1371,mains_settling_time_remaining,seshat,347.0,
308,a,10045195,23,cbm_icnt_senserr_14,seshat,,
309,a,21164,570,ins_kns_display_timings_[10],axeda,,
310,a,20850,570,ins_aip_aux_rpm,axeda,1.0,
311,a,10045423,23,cbm_icnt_invalidpar_02,seshat,,
312,a,10014989,590,Para_Hydraulic_OilModule_T_EO_Mod_In_Active,seshat,,
313,a,10000860,23,Para_Custom_AnalogIn_11_LimitHi,seshat,,
314,a,10009085,590,Aux_O2Cont,seshat,,
315,a,10010393,590,Para_Electrical_GeneratCtr_TimeTable_PF_CosPCtr_Tme_Set2,seshat,,
316,a,24410,690,gc_cyl3_ce_prs_deg106,axeda,684.0,
317,a,19481,23,Para_GasData_Gas1_StandGasDens,axeda,392.0,
318,a,10049158,990,meas_ul2l3,seshat,23.0,
319,a,10012643,590,Para_Custom_AnalogIn_19_LimitHi,seshat,,
320,a,16243,387,TEMP_calc_curr_Generator_TempBear_Model1,axeda,,
321,a,10012929,590,Para_Custom_AnalogIn_29_CustAnaIn_MinMaxActive29,seshat,,
322,a,10046073,23,cust_analoginput_ai127_value,seshat,775.0,
323,a,10044489,23,manualdata_valverecession_liv_cyl21,seshat,64.0,
324,a,10012842,590,Para_Reserve_Analog_ScaleBegin4,seshat,,
325,a,10045922,23,Para_Custom_AnalogIn_096_ScaleMin,seshat,,
326,a,22108,550,Tank_1_capacity,axeda,121.0,
327,a,1000026,23,Oil_Sample_Tin,analytics,711.0,
328,a,10049482,23,emission_rnox_em_avgdaily,seshat,604.0,
329,a,10000126,23,Para_ModulControler_Ctr10_Tn_manualAdjust,seshat,,
330,a,10051784,1350,flow_hall_2,seshat,424.0,
331,a,25447,690,gc_cyl5_he_prs_deg63,axeda,684.0,
332,a,10009691,590,Para_Aux_DumpRad_SelectCtr,seshat,,
333,a,19101,23,CtrModule_Ctr14_X,axeda,,
334,a,25157,690,gc_cyl4_ce_prs_deg133,axeda,684.0,
335,a,16576,23,TecJet_GasPress2,axeda,62.0,
336,a,10048149,1015,hfo_fsu_vfd_pump_3_run,seshat,,
337,a,1039979,23,valverecession_lev_cyl18_deltaVRSinceInit,analytics,64.0,
338,a,23897,690,gc_cyl2_ce_prs_deg313,axeda,684.0,
339,a,10044846,23,emission_bscr_injectvalve_urea,seshat,,
340,a,21908,570,IVC_5,axeda,,
341,a,10045399,23,cbm_icnt_confnotok_02,seshat,,
342,a,27183,970,sc_final_disc_p_h_alm,axeda,,
343,a,10000652,23,Para_Electrical_MMD_MMD2_F_Nom2,seshat,,
344,a,10009178,590,Knock_KLS98_IntKnock_Cyl01,seshat,,
345,a,10003033,23,Para_Custom_AnalogOut_AO11_HardwareScaleMin,seshat,,
346,a,21025,570,eng_alm_fault_code_1,axeda,,
347,a,25531,690,gc_cyl5_he_prs_deg147,axeda,684.0,
348,a,10015715,590,Ignition_ITPCyl09,seshat,,
349,a,19062,23,Para_Reserve_Para_ParaUnit030,axeda,,
350,a,10047684,950,Emeter1.F02Chk.IL3,seshat,73.0,
351,a,26942,631,gc_suction_t,axeda,344.0,
352,a,10000026,590,Various_MasterCtrlStatus,seshat,,
353,a,10010301,590,Para_Gasmixer_Gas3_GasMixPosOffsetIsland,seshat,,
354,a,10010041,590,Para_ModulControler_Ctr14_YMin,seshat,,
355,a,21595,570,eng_cyl_1_knockratio,axeda,,
356,a,10013038,590,Para_Custom_AnalogIn_53_LimitHi,seshat,,
357,a,28409,570,eng_trbo_exh_temp_2,axeda,344.0,
358,a,10012343,590,Para_ModulControler_Ctr17_t_min_pulse_up,seshat,,
359,a,10046138,23,cust_analoginput_ai192_value,seshat,775.0,
360,a,10001225,23,Para_Custom_AnalogIn_45_CustAnaIn_Active45,seshat,,
361,a,10048662,1016,inverter_pump_1_not_ready,seshat,,
362,a,10008240,23,Para_Aux_Ventilation_OutletLouvre_Pos_OutlLou1_Active,seshat,,
363,a,26085,690,gc_cyl5_ce_prs_deg341,axeda,684.0,
364,a,27872,23,oil_fe_bin_size_6,axeda,,
365,a,16604,23,Ignition_ITPCyl14,axeda,359.0,
366,a,10011922,590,Para_Visu_Aux_ActCoolRadStage2,seshat,,
367,a,26048,690,gc_cyl5_ce_prs_deg304,axeda,684.0,
368,a,10049055,990,meas_exhtb1,seshat,344.0,
369,a,24459,690,gc_cyl3_ce_prs_deg155,axeda,684.0,
370,a,18610,23,Para_MMD_Relay5,axeda,,
371,a,10015693,590,rTi_Start_2,seshat,,
372,a,10000158,23,Para_Custom_AnalogIn_22_CustAnaIn_Active22,seshat,,
373,a,10049620,871,CHP_J612_ThermalEnergyOutput,seshat,584.0,
374,a,10014742,590,Para_ModulControler_Ctr19_YMax,seshat,,
375,a,27151,970,eng_oil_t_sf_sd,axeda,,
376,a,10000899,23,Para_Custom_AnalogIn_20_LimitLo,seshat,,
377,a,24477,690,gc_cyl3_ce_prs_deg173,axeda,684.0,
378,a,17510,23,Para_GeneratCtr_TimeTable_TimePoint3m,axeda,386.0,
379,a,24301,690,gc_cyl3_he_prs_deg357,axeda,684.0,
380,a,18082,23,Para_Ignition_ITPKnockMonOffG1,axeda,359.0,
381,a,10011307,590,Para_Electrical_MMD_MMD1_Ti_F_UnderDel1,seshat,,
382,a,10008420,23,Para_ModulControler_Ctr27_Kp_manualAdjust,seshat,,
